family,scenario_members,method,budget,roc_auc,pr_auc,normalized_partial_auc_fpr_0_05,clean_holdout_fpr,strict_external_pre_onset_fpr,attack_detection_rate,first_alarm_delay_s,sustained_alarm_fraction,tracked_prn_count_min,evaluation_epochs,correlator_count,status
ds3,ds3,active_adaptive,3,0.15972222222222224,0.7104470017266185,0.5405982905982906,0.0,0.0,0.08333333333333333,87.09585066285712,0.08333333333333333,6,60,3,PASS
ds3,ds3,active_adaptive,5,0.17708333333333331,0.7208364762345392,0.5512820512820513,0.0,0.0,0.10416666666666667,87.09585066285712,0.10416666666666667,6,60,5,PASS
ds3,ds3,active_adaptive,9,0.17361111111111108,0.7198972578412768,0.5512820512820513,0.0,0.0,0.125,87.09585066285712,0.125,6,60,9,PASS
ds3,ds3,active_adaptive,16,0.1875,0.729882822045591,0.561965811965812,0.0,0.0,0.14583333333333334,68.11365427999999,0.14583333333333334,6,60,16,PASS
ds3,ds3,active_context,9,0.736111111111111,0.940230357166468,0.8183760683760684,0.4166666666666667,0.08333333333333333,0.6875,0.021776791999982947,0.6875,6,60,9,PASS
ds3,ds3,active_magnitude,3,0.10416666666666666,0.6587171999655413,0.49786324786324787,0.0,0.08333333333333333,0.041666666666666664,8.099603614999992,0.041666666666666664,6,60,3,PASS
ds3,ds3,active_magnitude,5,0.0920138888888889,0.6510019345866856,0.49786324786324787,0.0,0.0,0.0,,0.0,6,60,5,PASS
ds3,ds3,active_magnitude,9,0.07638888888888888,0.6411518326869514,0.49786324786324787,0.0,0.0,0.0,,0.0,6,60,9,PASS
ds3,ds3,active_no_context,9,0.17361111111111108,0.7198972578412768,0.5512820512820513,0.0,0.0,0.125,87.09585066285712,0.125,6,60,9,PASS
ds3,ds3,analytic_two_source_glrt,187,0.9982638888888888,0.9995748299319729,0.9893162393162394,0.0,0.0,0.9791666666666666,2.0953528549999874,0.9791666666666666,6,60,187,PASS
ds3,ds3,dense_nf,187,0.984375,0.9962512749353638,0.9572649572649572,0.08333333333333333,0.08333333333333333,0.9583333333333334,2.0953528549999874,0.9583333333333334,6,60,187,PASS
ds3,ds3,dense_one_source_residual,187,0.9947916666666666,0.9987745098039218,0.9893162393162394,0.08333333333333333,0.0,0.9791666666666666,2.0953528549999874,0.9791666666666666,6,60,187,PASS
ds3,ds3,epl_3,3,0.9861111111111112,0.9966042841946232,0.9465811965811965,0.0,0.0,0.5,28.101513231111113,0.5,6,60,3,PASS
ds3,ds3,epl_3_complex,3,0.9861111111111112,0.9966564542483662,0.9679487179487178,0.0,0.0,0.8125,15.101513675555566,0.8125,6,60,3,PASS
ds3,ds3,fixed_9_delay_tap_complex,9,0.9965277777777778,0.9991666666666668,0.9893162393162394,0.0,0.0,0.9791666666666666,2.0953528549999874,0.9791666666666666,6,60,9,PASS
ds3,ds3,fixed_delay_9,9,1.0,1.0000000000000002,1.0,0.08333333333333333,0.08333333333333333,1.0,0.021776791999982947,1.0,6,60,9,PASS
ds3,ds3,learned_fixed,3,0.15972222222222224,0.7104470017266185,0.5405982905982906,0.0,0.0,0.08333333333333333,87.09585066285712,0.08333333333333333,6,60,3,PASS
ds3,ds3,learned_fixed,5,0.17708333333333331,0.7208364762345392,0.5512820512820513,0.0,0.0,0.10416666666666667,87.09585066285712,0.10416666666666667,6,60,5,PASS
ds3,ds3,learned_fixed,9,0.17013888888888887,0.7181878561318751,0.5512820512820513,0.0,0.0,0.125,87.09585066285712,0.125,6,60,9,PASS
ds3,ds3,learned_fixed,16,0.18229166666666666,0.7244719424159612,0.5512820512820513,0.0,0.0,0.125,87.09585066285712,0.125,6,60,16,PASS
ds3,ds3,previous_acaf_r1_proxy,187,1.0,1.0000000000000002,1.0,0.08333333333333333,0.0,0.9791666666666666,2.0953528549999874,0.9791666666666666,6,60,187,PASS
ds3,ds3,prompt_magnitude_only,0,0.9565972222222222,0.9911527827863928,0.9679487179487178,0.0,0.0,0.0,,0.0,6,60,0,PASS
ds3,ds3,random_fixed,3,0.9531249999999999,0.988944397351007,0.9038461538461539,0.3333333333333333,0.3333333333333333,0.9791666666666666,0.021776791999982947,0.9791666666666666,6,60,3,PASS
ds3,ds3,random_fixed,5,0.8854166666666665,0.972962973091062,0.8504273504273505,0.16666666666666666,0.16666666666666666,0.7916666666666666,22.097068968888863,0.7916666666666666,6,60,5,PASS
